held_out_family,truth,prediction,correct,abstain,observability
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.0
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
unauthorized_delegation,agent_A,operator,0,0,0.9999999999117193
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.999999998030453
credential_misuse,agent_A,operator,0,0,0.999999994856488
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999988750516
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.0
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999964704823
credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.0
credential_misuse,agent_A,operator,0,0,0.9999999964704823
credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.0
credential_misuse,agent_A,operator,0,0,0.9999999964704823
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999964704823
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999988750516
credential_misuse,agent_A,operator,0,0,0.999999998030453
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999964704823
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.999999994856488
credential_misuse,agent_A,operator,0,0,0.9999999964704823
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,operator,0,0,0.9999999948740748
credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.0
credential_misuse,agent_A,operator,0,0,0.999999994856488
ignored_warning,operator,provider,0,0,0.7877907694145836
ignored_warning,operator,NOT_IDENTIFIABLE,0,1,0.0
