removed,family,truth,prediction,correct,abstain,observability,effective_observability
authorization,unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,ignored_warning,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,prompt_manipulation,external_user,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,model_defect,provider,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,policy_defect,developer,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,cloud_defect,cloud,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,human_override,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,multi_agent_chain,operator,NOT_IDENTIFIABLE,0,1,0.9999801435686765,0.0
authorization,log_suppression,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,ignored_warning,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,prompt_manipulation,external_user,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,model_defect,provider,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,policy_defect,developer,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,cloud_defect,cloud,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,human_override,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,multi_agent_chain,operator,NOT_IDENTIFIABLE,0,1,0.9999801435686765,0.0
authorization,log_suppression,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,ignored_warning,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,prompt_manipulation,external_user,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,model_defect,provider,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,policy_defect,developer,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,cloud_defect,cloud,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,human_override,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,multi_agent_chain,operator,NOT_IDENTIFIABLE,0,1,0.9999801435686765,0.0
authorization,log_suppression,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,ignored_warning,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,prompt_manipulation,external_user,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,model_defect,provider,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,policy_defect,developer,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,cloud_defect,cloud,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,human_override,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,multi_agent_chain,operator,NOT_IDENTIFIABLE,0,1,0.9999801435686765,0.0
authorization,log_suppression,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,credential_misuse,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,ignored_warning,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,prompt_manipulation,external_user,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,model_defect,provider,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,policy_defect,developer,NOT_IDENTIFIABLE,0,1,0.9999999999117192,0.0
authorization,cloud_defect,cloud,NOT_IDENTIFIABLE,0,1,0.9999999999117194,0.0
authorization,human_override,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
authorization,multi_agent_chain,operator,NOT_IDENTIFIABLE,0,1,0.9999801435686765,0.0
authorization,log_suppression,operator,NOT_IDENTIFIABLE,0,1,0.9999999999117193,0.0
delegation,unauthorized_delegation,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999033623,0.0
